1 校狗丁丁的本名是
A 賈斯丁
B 克莉絲丁
C 就是丁丁
+ B
2 物理館是清大四獸中的何者
A 朱雀
B 青龍
C 白虎
D 玄武
+ D
3 清大104學年度在校生人數約為
A 20000
B 15000
C 12000
D 10000
+ C
4 清大校慶在幾月
A 一月
B 四月
C 九月
D 十月
+ B
5 下列哪位教授是特聘教授
A 黃婷婷教授
B 王炳豐教授
C 黃能富教授
D 以上皆是
+ D
6 清大在英國QS2015年亞洲大學排名中的排名為
A 1~40
B 41~80
C 81~120
D 120~
+ A
7 梅竹賽命名的梅竹先後順序的決定方式為
A 擲銅板
B 教育部決定
C 猜拳
D 網路投票
+ A
8 清大圖書館可借書的天數為
A 10
B 20
C 30
D 40
+ C
9 蘇格貓底咖啡屋的負責人林群是哪一研究所畢業的校友
A 電子所
B 資工所
C 中文所
D 哲學所
+ D
10 這題是送分題答案是A
A AAAAA
B BBBBB
C CCCCC
D DDDDD
+ A
11 英文字母的第一個是
A D
B C
C B
D A
+ D
12 下列哪一個是母音
A D
B C
C A
D A
+ C
13 小明打籃球摔傷，心裡留下了陰影。求心裡陰影面積？
A 87平方公里
B 我想靜靜
C 太難了@@
D TAT
+ A
14 隨便猜，我懶得出題了
A 有可能是A
B 也可能是C
C 不知道就猜C
D DDD一定是D
+ D
10 這題是送分題答案是A
A AAAAA
B BBBBB
C CCCCC
D DDDDD
+ A
11 英文字母的第一個是
A D
B C
C B
D A
+ D
12 下列哪一個是母音
A D
B C
C A
D A
+ C
13 小明打籃球摔傷，心裡留下了陰影。求心裡陰影面積？
A 87平方公里
B 我想靜靜
C 太難了@@
D TAT
+ A
14 隨便猜，我懶得出題了
A 有可能是A
B 也可能是C
C 不知道就猜C
D DDD一定是D
+ D
